day,n_orders,real_dispatched,real_missed,real_revenue,real_deadhead_cost,real_deadhead_miles,real_net,a_assigned,a_unassigned,a_net_revenue,a_deadhead_miles,b_assigned,b_unassigned,b_net_revenue,b_deadhead_miles
2026-08-07,46,41,5,4884.08,2439.71,1394.1,2444.37,38,8,2559.66,1194.9,41,5,3122.62,978.7
2026-08-08,6,6,0,82.45,1033.54,590.6,-951.09,6,0,-550.21,361.5,6,0,-550.21,361.5
2026-08-10,48,45,3,6866.19,3147.23,1798.4,3718.96,41,7,4125.65,1262.8,42,6,4472.78,1064.4
2026-08-11,39,39,0,5686.73,3088.58,1764.9,2598.14,34,5,2773.19,1453.7,35,4,2898.56,1382.1
2026-08-12,48,45,3,7043.05,3151.1,1800.6,3891.95,40,8,4904.78,1050.2,46,2,4659.33,1396.3
2026-08-13,51,45,6,6985.33,3198.31,1827.6,3787.02,38,13,3887.63,1309.9,50,1,3719.28,1781.0
2026-08-14,44,43,1,6070.87,2532.44,1447.1,3538.43,37,7,3642.92,1095.6,41,3,3657.25,1221.1
2026-08-15,6,6,0,82.45,1033.54,590.6,-951.09,4,2,-362.59,242.5,4,2,-362.59,242.5
2026-08-17,43,33,10,5195.13,2839.52,1622.6,2355.61,33,10,1688.5,1351.7,35,8,2128.75,1100.1
2026-08-18,54,53,1,9297.23,3948.43,2256.2,5348.79,41,13,5568.25,1217.4,53,1,6208.34,1731.2
2026-08-19,44,39,5,4115.16,1948.36,1113.3,2166.81,33,11,2296.68,763.1,42,2,2111.28,941.4
2026-08-20,34,30,4,5472.56,2205.77,1260.4,3266.79,25,9,3131.26,893.1,34,0,3055.63,1456.3
2026-08-21,45,41,4,5408.76,2186.9,1249.7,3221.87,31,14,3304.27,615.3,43,2,3748.03,856.4
2026-08-24,29,27,2,4260.56,1053.63,602.1,3206.94,19,10,2595.92,399.6,26,3,2986.03,559.2
2026-08-25,46,44,2,6382.81,1918.57,1096.3,4464.24,32,14,2590.3,837.8,46,0,4508.85,1070.8
2026-08-26,36,32,4,3951.67,1085.93,620.5,2865.74,26,10,2646.91,424.9,35,1,3233.6,650.8
2026-08-27,27,25,2,3320.01,1037.83,593.0,2282.19,20,7,1844.89,488.5,25,2,2216.33,583.5
2026-08-28,8,4,4,472.73,170.99,97.7,301.74,6,2,476.62,201.2,8,0,716.61,273.6
